datetime,open,high,low,close,volume
2021-06-03 00:00:00+00:00,30779.43,32395.02,30480.41,32339.24,1921.32685099
2021-06-04 00:00:00+00:00,32356.53,32395.0,29402.55,30301.55,2559.11762518
2021-06-05 00:00:00+00:00,30335.6,31278.52,28739.1,29293.79,2774.34928375
2021-06-06 00:00:00+00:00,29293.79,30066.04,29015.41,29463.22,1591.48959186
2021-06-07 00:00:00+00:00,29461.54,30272.25,27381.83,27608.37,2242.52051488
2021-06-08 00:00:00+00:00,27565.36,27975.28,25461.5,27461.98,4525.43083614
2021-06-09 00:00:00+00:00,27415.47,30834.82,26648.7,30706.72,3894.62676921
2021-06-10 00:00:00+00:00,30727.13,31622.32,29427.4,30142.73,3331.74690131
2021-06-11 00:00:00+00:00,30153.77,31014.18,29543.93,30833.96,2471.88166978
2021-06-12 00:00:00+00:00,30849.99,30932.93,28705.7,29393.69,2524.69492902
2021-06-13 00:00:00+00:00,29422.62,32492.75,28824.58,32204.72,2836.88364101
2021-06-14 00:00:00+00:00,32192.01,33854.55,32021.82,33430.85,3146.81517626
2021-06-15 00:00:00+00:00,33433.46,34099.98,32636.09,33126.81,1932.79522475
2021-06-16 00:00:00+00:00,33135.25,33390.22,31748.18,31963.63,1966.65386708
2021-06-17 00:00:00+00:00,31992.59,33109.16,31435.7,31961.15,2081.63089841
2021-06-18 00:00:00+00:00,31944.6,32069.81,29622.2,30211.85,1994.31066602
2021-06-19 00:00:00+00:00,30226.82,30748.35,29407.54,29994.96,1678.35363584
2021-06-20 00:00:00+00:00,29987.23,30443.13,28193.92,29982.08,2419.97257418
2021-06-21 00:00:00+00:00,29986.68,30096.53,26236.45,26548.81,4851.35673376
2021-06-22 00:00:00+00:00,26521.54,27912.0,24213.32,27227.09,5962.84321817
2021-06-23 00:00:00+00:00,27242.83,29184.23,26584.86,28238.94,2711.61044319
2021-06-24 00:00:00+00:00,28230.84,29547.64,27132.43,29049.95,2129.69902979
2021-06-25 00:00:00+00:00,29045.98,29721.64,26238.32,26483.71,3027.29953202
2021-06-26 00:00:00+00:00,26496.71,27426.87,25341.99,27061.5,3115.05268219
2021-06-27 00:00:00+00:00,27067.66,29066.88,26801.69,29010.14,2056.80737439
2021-06-28 00:00:00+00:00,29055.14,29564.99,28439.77,28882.59,2086.58358373
2021-06-29 00:00:00+00:00,28895.93,30773.5,28740.15,30120.86,2257.98801988
2021-06-30 00:00:00+00:00,30185.18,30332.43,28740.15,29569.32,1625.41885113
2021-07-01 00:00:00+00:00,29575.83,29575.83,27630.89,28277.33,1785.73160801
2021-07-02 00:00:00+00:00,28278.84,28671.41,27626.87,28479.65,1408.65285097
2021-07-03 00:00:00+00:00,28519.33,29437.83,28126.38,29198.07,730.2682086
2021-07-04 00:00:00+00:00,29185.39,30270.79,28969.93,29731.26,644.03943376
2021-07-05 00:00:00+00:00,29696.32,29715.97,27931.13,28425.11,1318.09658636
2021-07-06 00:00:00+00:00,28413.76,29614.88,28371.99,28937.46,1309.03181382
2021-07-07 00:00:00+00:00,28944.85,29677.15,28668.11,28742.15,1071.94324704
2021-07-08 00:00:00+00:00,28737.88,28782.97,27146.05,27757.37,2021.96711289
2021-07-09 00:00:00+00:00,27762.42,28714.46,27268.38,28501.43,1332.10014713
2021-07-10 00:00:00+00:00,28497.14,28838.57,27857.82,28219.0,695.104787
2021-07-11 00:00:00+00:00,28222.61,29121.79,28059.0,28832.74,669.63500033
2021-07-12 00:00:00+00:00,28866.59,29191.74,27558.75,27909.73,962.93529127
2021-07-13 00:00:00+00:00,27919.51,28159.59,27350.0,27814.18,1067.2369258
2021-07-14 00:00:00+00:00,27785.35,27972.0,26841.15,27728.78,1222.96167451
2021-07-15 00:00:00+00:00,27734.79,28042.5,26389.02,26972.02,1324.06330569
2021-07-16 00:00:00+00:00,26974.95,27302.66,26288.39,26587.5,1078.16164674
2021-07-17 00:00:00+00:00,26582.68,27072.8,26419.43,26731.36,921.57570655
2021-07-18 00:00:00+00:00,26700.77,27459.78,26406.11,26893.75,672.3034317
2021-07-19 00:00:00+00:00,26913.54,27025.0,25752.0,26143.04,1070.13688491
2021-07-20 00:00:00+00:00,26137.53,26323.13,24828.27,25293.43,1526.78307731
2021-07-21 00:00:00+00:00,25286.42,27802.75,25059.37,27240.36,1917.4202259
2021-07-22 00:00:00+00:00,27240.36,27700.0,26905.6,27433.92,983.82941181
2021-07-23 00:00:00+00:00,27439.68,28562.45,27210.0,28557.73,1161.60553934
2021-07-24 00:00:00+00:00,28544.54,29332.11,28363.7,29116.86,754.21854133
2021-07-25 00:00:00+00:00,29114.89,30044.16,28757.34,30038.12,685.88509808
2021-07-26 00:00:00+00:00,30044.16,34362.4,29909.12,31550.68,4471.99724402
2021-07-27 00:00:00+00:00,31550.92,33433.83,30848.95,33433.83,1885.45402137
2021-07-28 00:00:00+00:00,33390.89,34659.0,32883.28,33799.73,2815.6344951
2021-07-29 00:00:00+00:00,33817.09,34239.48,33148.9,33686.31,1156.38279766
2021-07-30 00:00:00+00:00,33688.99,35624.9,32219.25,35555.82,1718.25471493
2021-07-31 00:00:00+00:00,35570.49,35690.0,34619.52,34894.34,883.85926252
2021-08-01 00:00:00+00:00,34901.79,35859.0,33268.37,33583.13,1123.90394155
2021-08-02 00:00:00+00:00,33609.03,34075.97,32596.97,32966.56,1252.47834112
2021-08-03 00:00:00+00:00,32976.51,33516.51,31748.18,32188.49,1352.04401832
2021-08-04 00:00:00+00:00,32167.8,33766.89,31658.49,33551.36,1208.34385654
2021-08-05 00:00:00+00:00,33568.47,34967.34,31573.49,34532.14,1981.37024873
2021-08-06 00:00:00+00:00,34518.83,36848.59,33741.14,36365.9,1820.62334425
2021-08-07 00:00:00+00:00,36359.01,37945.0,36051.72,37797.64,1408.09747512
2021-08-08 00:00:00+00:00,37836.65,38474.77,36684.22,37281.17,1086.70860121
2021-08-09 00:00:00+00:00,37333.85,39596.63,36442.24,39426.46,1805.09448234
2021-08-10 00:00:00+00:00,39425.28,39806.84,38111.58,38929.53,1385.77970837
2021-08-11 00:00:00+00:00,38924.45,39833.02,38695.24,38800.0,858.77753943
2021-08-12 00:00:00+00:00,38792.32,39374.03,37325.0,37836.99,918.21427971
2021-08-13 00:00:00+00:00,37867.96,40596.71,37750.18,40481.07,1117.9097968
2021-08-14 00:00:00+00:00,40503.27,40780.0,39075.05,39930.1,885.2661939
2021-08-15 00:00:00+00:00,39932.73,40155.45,38648.86,39863.35,834.99918774
2021-08-16 00:00:00+00:00,39859.26,40707.41,38788.16,38978.92,1372.9333916
2021-08-17 00:00:00+00:00,38983.75,40091.07,38000.0,38186.49,1114.25253774
2021-08-18 00:00:00+00:00,38139.79,39299.99,37798.9,38257.01,1318.6674837
2021-08-19 00:00:00+00:00,38234.24,40289.35,37654.1,40047.49,1321.02207625
2021-08-20 00:00:00+00:00,40032.89,42249.0,39919.8,42236.96,3145.28171548
2021-08-21 00:00:00+00:00,42236.86,42731.16,41400.0,41811.72,2025.75052997
2021-08-22 00:00:00+00:00,41806.52,42394.77,41200.0,42171.97,710.89806416
2021-08-23 00:00:00+00:00,42145.34,43112.12,41751.58,42192.53,1171.02328479
2021-08-24 00:00:00+00:00,42122.31,42500.0,40530.77,40638.19,1189.00780284
